datetime,city,state,country,shape,duration,comments,latitude,longitude,region,us_region
25/12/2006 8:00,henderson,NV,US,sphere,120,shiny spherical object accompanies jet leaving McCarran airport.,36.0397222,-114.9811111,US,West
25/12/2006 14:10,los angeles,ID,US,changing,30,WE SAW A UFO&#33,33.886544,-118.097288,US,West
25/12/2007 20:00,cut off,LA,US,circle,180,Christmas night&#44 Cut Off&#44  Louisiana had a extra special christmas gift that night.,29.5425,-90.3380556,US,Southeast
25/12/2008 1:00,paintsville,KY,US,fireball,2,red hot fire ball with long tail in kentucky-Christmas2008,37.8144444,-82.8072222,US,Southeast
25/12/2008 12:15,uk/england,EUROPE,GB,other,20,A flat black 3-5 sided ufo near Winter Hill,52.355518,-1.17432,Europe,EUROPE
25/12/2008 18:00,austin,TX,US,disk,60,over austin flying,30.2669444,-97.7427778,US,Southeast
25/12/2008 20:45,south burlington,VT,US,light,1800,flashing light in sky.  ((NUFORC Note:  Possible sighting of Sirius?  PD)),44.4669444,-73.1713889,US,Northeast
25/12/2010 20:00,glasgow (uk/scotland),EUROPE,GB,sphere,3600,UFO&#39s in formation over southside of glasgow&#44 proceeded to return over the course of a few weeks.,55.833333,-4.25,Europe,EUROPE
25/12/2010 22:14,vanderbijlpark (south africa),AFRICA,ZA,triangle,10,Brownish Colour with 2 lights,-26.699167,27.835556,Africa,AFRICA
25/12/2011 7:22,west jordan,UT,US,fireball,300,Red Horizontal Lights in the Sky,40.5,-111.95,US,West
25/12/2011 7:30,upper darby,PA,US,unknown,27,Orange glowing light unidenified flying object,39.9283333,-75.2741667,US,Northeast
25/12/2011 18:15,pompano beach,FL,US,circle,120,LARGE BRIGHT ORANGE OBJECT.  ((NUFORC Note:  Report from 16&#44000-hour pilot.  PD)),26.2375,-80.125,US,Southeast
25/12/2011 19:30,holbrook,NY,US,light,600,Four Yellow/ golden lights alligned perfectly in the sky. None were moving except for one.,40.8122222,-73.0788889,US,Northeast
25/12/2011 20:00,charleston,WV,US,circle,3600,Very bright circular object hovering over the town of Charleston&#44 WV on Xmas night&#33  ((NUFORC Note:  Star or planet??  PD)),38.3497222,-81.6327778,US,Southeast
25/12/2011 20:30,winter garden,FL,US,triangle,90,Very Large Triangle shaped object with multiple colored lights.  I ran to get my wife and kid they saw the lights but did not see the s,28.565,-81.5863889,US,Southeast
25/12/2011 21:58,hometown,IL,US,unknown,20,High speed white light &#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33,41.7344444,-87.7313889,US,Midwest
25/12/2011 22:00,littleton,CO,US,cylinder,30,3 yellowish lights forming a triangle with a bright beam of light pointing down in the center.,39.6133333,-105.0161111,US,West
25/12/2012 17:10,burke,VA,US,sphere,180,Bright orange spheres hovering and moving.,38.7933333,-77.2719444,US,Southeast
25/12/2012 20:30,bangor,ME,US,fireball,900,Five yellow/orange orbs flying across sky at low altitude over 15 minute period seen by 5 people.,44.8011111,-68.7783333,US,Northeast
25/12/2012 21:00,woods cross,UT,US,disk,1425,Disc&#44 white lights&#44 triangle moving pattern.,40.8716667,-111.8913889,US,West
25/12/2013 6:35,lancaster,PA,US,light,900,Bright orange light with I pointy front no sound no flashing lights.,40.0377778,-76.3058333,US,Northeast
25/12/2013 16:25,fredericksburg,VA,US,egg,120,Bright orange object in the night sky over Fredericksburg&#44 VA.,38.3030556,-77.4608333,US,Southeast
25/12/2013 19:15,mccordsville,IN,US,sphere,300,Several illuminated spheres moving with the air currents from west to east across the sky.,39.9080556,-85.9227778,US,Midwest
25/12/2013 19:45,yountville,CA,US,triangle,120,Long bright red triangle.,38.4016667,-122.3597222,US,West
25/12/2013 20:00,waterdown (canada),AMERICA,CA,fireball,600,Fireballs flying in sequence spaced perfecly fr horizon to clouds.,43.333333,-79.883333,America,AMERICA
25/12/2013 20:35,weston,FL,US,circle,90,Circular flashing orb in red crossing sky in about a minute of clear site.  Never seen anything like it&#33,26.1,-80.4,US,Southeast
25/12/2013 22:30,beavercreek,OH,US,cone,120,Four lights above intersection of Interstate 675 and State Route 35 tonight. Could not tell the altitude&#44 but they appeared to be less,39.7091667,-84.0633333,US,Midwest
25/12/2013 22:38,saint paul,MN,US,light,35,Red and Green light bars seen at low elevation.,44.9444444,-93.0930556,US,Midwest
26/12/1961 20:00,forestburg,TX,US,sphere,120,Round brilliant white object hovered and then slowly descended behind a hill in a remote area without making a noise.,33.5330556,-97.5563889,US,Southeast
26/12/1999 5:17,lahore (pakistan),ASIA,PK,cigar,30,As we were walkinh through the thick blanket of fog we saw what we think was a UFO.,31.554606,74.357158,Asia,ASIA
26/12/1999 20:00,boca raton,FL,US,light,2700,it all started when my neighborwas trying out his new telescope.as we were waiting for him to locate a star so we could check it out&#44my,26.3583333,-80.0833333,US,Southeast
26/12/1999 20:00,new orleans,LA,US,light,20,ufo streaked across the sky&#44 like to know what we saw.,29.9544444,-90.075,US,Southeast
26/12/2000 18:23,brocton,MA,US,oval,3,large green object seen in Brocton&#44 Ma: at 6:23 p.m. on 12/26/00,42.083434,-71.018379,US,Northeast
26/12/2000 23:15,prospect park,PA,US,oval,45,PROSPECT PARK PA OVAL LIGHTS APPEAR ABOVE,39.8877778,-75.3086111,US,Northeast
26/12/2001 0:30,port jefferson station,NY,US,unknown,7,Dark object at very low altitude traveling at a high rate of speed with no sound.,40.9252778,-73.0477778,US,Northeast
26/12/2002 6:55,london (south east) (uk/england),EUROPE,GB,light,600,Saw a very bright stationary light  alaso witnessed by my husband. The light suddenly disappeared after a few minutes.,51.514125,-0.093689,Europe,EUROPE
26/12/2003 1:00,newmarket (canada),AMERICA,CA,light,2700,i was siting in a  truck  with a friend adn saw a light that were changing colors and kept on seperating into 3 lights  over and over a,44.05,-79.45,America,AMERICA
26/12/2003 15:00,beavercreek,OH,US,changing,1800,We saw 3 extremely bright objects that left contrails straight out of the sky then suspended in place and shifted positions,39.7091667,-84.0633333,US,Midwest
26/12/2003 15:00,beavercreek,OH,US,disk,1800,Saucer rims were seen near Beavercreek&#44 Ohio on December 26&#44 2003,39.7091667,-84.0633333,US,Midwest
26/12/2004 0:00,winter park,FL,US,changing,2187,3 Multi colored objects hovored over my calm lake...,28.5997222,-81.3394444,US,Southeast
26/12/2004 19:38,toronto (canada),AMERICA,CA,formation,6,At about 19:38 pm I was out trying to view the comet Machholz as I was looking up in the sky directly above me while standing facing di,43.666667,-79.416667,America,AMERICA
